"DNP","QTY","REF","value","footprint","datasheet"
"","1","C1","1u","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
"","1","C2","100n","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
"","1","E1","AS5147U","dolphin:Encoder_AS5147U","https://look.ams-osram.com/m/d4566ea9c648455/original/AS5147U-AS5247U-DS000639.pdf"
"","1","JP1","Jumper_2_Open","Jumper:SolderJumper-2_P1.3mm_Open_TrianglePad1.0x1.5mm",""
"","1","R1","10k","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"","1","R2","10k","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"","1","R3","10k","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"","1","TP1","TestPoint","TestPoint:TestPoint_Pad_D1.0mm",""
"","1","TP2","TestPoint","TestPoint:TestPoint_Pad_D1.0mm",""
"","1","TP3","TestPoint","TestPoint:TestPoint_Pad_D1.0mm",""
"","1","TP4","TestPoint","TestPoint:TestPoint_Pad_D1.0mm",""
"","1","TP5","TestPoint","TestPoint:TestPoint_Pad_D1.0mm",""
"","1","TP6","TestPoint","TestPoint:TestPoint_Pad_D1.0mm",""
"","1","TP7","TestPoint","TestPoint:TestPoint_Pad_D1.0mm",""
"","1","TP8","TestPoint","TestPoint:TestPoint_Pad_D1.0mm",""
"","1","TP9","TestPoint","TestPoint:TestPoint_Pad_D1.0mm",""
"","1","TP10","TestPoint","TestPoint:TestPoint_Pad_D1.0mm",""
"","1","TP11","TestPoint","TestPoint:TestPoint_Pad_D1.0mm",""
"","1","TP12","TestPoint","TestPoint:TestPoint_Pad_D1.0mm",""
"","1","TP13","TestPoint","TestPoint:TestPoint_Pad_D1.0mm",""
"","1","TP14","TestPoint","TestPoint:TestPoint_Pad_D1.0mm",""
