"DNP","QTY","REF","value","footprint","datasheet"
"","1","C1","1u","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
"","1","C2","1u","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
"","1","C3","1u","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
"","1","C4","10u 16V","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm",""
"","1","C5","10u 16V","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm",""
"","1","C6","1u","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
"","1","C7","1u","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
"","1","C8","1u","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
"","1","C9","1u","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
"","1","C10","1u","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
"","1","C11","10u 16V","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm",""
"","1","C12","10u 16V","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm",""
"","1","D1","BLUE_2V6","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",""
"","1","D2","BLUE_2V6","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",""
"","1","D3","BLUE_2V6","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",""
"","1","D4","LESD5D5.0CT1G","Diode_SMD:D_0805_2012Metric_Pad1.15x1.40mm_HandSolder",""
"","1","D5","LESD5D5.0CT1G","Diode_SMD:D_0805_2012Metric_Pad1.15x1.40mm_HandSolder",""
"","1","D6","WS2812B-4020-G1","dolphin:LED_WS2812B-4020",""
"","1","D7","WS2812B-4020-G1","dolphin:LED_WS2812B-4020",""
"","1","D8","WS2812B-4020-G1","dolphin:LED_WS2812B-4020",""
"","1","D9","WS2812B-4020-G1","dolphin:LED_WS2812B-4020",""
"","1","D10","WS2812B-4020-G1","dolphin:LED_WS2812B-4020",""
"","1","D11","WS2812B-4020-G1","dolphin:LED_WS2812B-4020",""
"","1","D12","WS2812B-4020-G1","dolphin:LED_WS2812B-4020",""
"","1","D13","WS2812B-4020-G1","dolphin:LED_WS2812B-4020",""
"","1","J1","MICRO_START","dolphin:Connector_JST_ZH_B3B-ZR_1x03_P1.50mm_Vertical",""
"","1","J2","LRGB","dolphin:Connector_JST_ZH_B4B-ZR_1x04_P1.50mm_Vertical",""
"","1","J3","ESC_L","Connector_PinSocket_2.54mm:PinSocket_1x03_P2.54mm_Vertical",""
"","1","J4","Conn_02x08_Odd_Even","Connector_PinSocket_2.54mm:PinSocket_2x08_P2.54mm_Vertical",""
"","1","J7","ESC_R","Connector_PinSocket_2.54mm:PinSocket_1x03_P2.54mm_Vertical",""
"","1","J8","ENC_R","dolphin:Connector_JST_ZH_B3B-ZR_1x03_P1.50mm_Vertical",""
"","1","J9","ENC_L","dolphin:Connector_JST_ZH_B3B-ZR_1x03_P1.50mm_Vertical",""
"","1","JP1","Jumper_2_Open","Jumper:SolderJumper-2_P1.3mm_Open_TrianglePad1.0x1.5mm",""
"","1","JP3","Jumper_2_Open","Jumper:SolderJumper-2_P1.3mm_Open_TrianglePad1.0x1.5mm",""
"","1","P1","USB_C","dolphin:Connector_USB-C","https://www.usb.org/sites/default/files/documents/usb_type-c.zip"
"","1","R1","20k","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"","1","R2","10k","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"","1","R3","20k","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"","1","R4","20k","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"","1","R5","10k","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"","1","R6","20k","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"","1","R7","10k","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"","1","R8","20k","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"","1","R9","10k","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"","1","R10","20k","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"","1","R11","10k","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"","1","R12","20k","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"","1","R13","10k","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"","1","R14","20k","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"","1","R15","10k","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"","1","R16","10k","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"","1","R17","10k","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"","1","R18","10k","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"","1","R19","10k","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"","1","R20","20k","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"","1","R21","10k","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"","1","R22","10k","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"","1","R23","10k","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"","1","R24","20k","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"","1","R25","10k","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"","1","R26","10k","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"","1","R27","10k","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"","1","RC1","FS-iA6","dolphin:Receiver_FS-iA6",""
"","1","S01","Conn_01x03","dolphin:Connector_JST_ZH_B3B-ZR_1x03_P1.50mm_Vertical",""
"","1","S02","Conn_01x03","dolphin:Connector_JST_ZH_B3B-ZR_1x03_P1.50mm_Vertical",""
